model;train_r2;test_r2;train_mse;test_mse
sr;0.7123452935432769;0.8598684966843289;17194279.80124889;5580358.087921752
mr;0.9432010353696476;0.8752466047580355;3395102.7685425533;4967966.529024893
pr;0.7246151784280663;0.8709353953828536;16460859.387458716;5139648.781311343
omr;0.9333510481864481;0.9144819961265032;3983876.1550546037;3405523.19276391
sdt;0.8669351419342098;0.8777736219649727;7916376.112619903;4867334.903905719
dt;0.9284674764713188;0.8828203730140474;4255656.743404737;4666361.693970262
rf;0.9719758859534974;0.9084518698548176;1667227.7732816741;3645656.66107893
odt;0.928212144522148;0.8869860870982358;4270847.108258278;4500473.398107879
45-45-1-rnn;;;1128897.086381998;2620153.13180656
45-45-45-1-rnn;;;721703.1009115664;4157993.471746276
45-60-1-rnn;;;1080990.804884521;3940980.4515078124
45-60-60-1-rnn;;;804947.2664804691;4429749.218385093
27-27-1-rnn;;;1975469.2272331908;2460374.9838385987
27-27-27-1-rnn;;;1548357.9780078297;3305242.6076946375
27-36-1-rnn;;;2133710.094797876;2803105.7627251092
27-36-36-1-rnn;;;1240232.7352145808;2366501.122747119
